ID,First Author,Year,A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,Total
128,Xiaoqiang Li,2023,1,0,1,1,0,1,1,0,1,1,7
129,Bahareh Beigzadeh,2020,1,0,0,1,1,0,0,0,0,0,3
130,Mohd. Zafar,2022,1,1,1,1,1,1,0,0,0,1,7
131,Abayomi Bamisaye,2023,0,0,0,0,1,1,1,0,0,1,4
132,Kaushal Naresh Gupta,2020,1,0,0,0,1,0,1,0,0,1,4
133,Hakan Demir,2023,1,1,0,1,1,1,1,0,0,1,7
134,Manar Ahmed Hamza,2022,1,0,0,0,0,0,0,0,0,1,2
135,Xiaohua Liu,2023,1,1,0,0,1,0,1,1,1,0,6
136,I-Ting Sung,2023,1,1,1,0,1,1,0,0,0,1,6
137,Yukun Teng,2024,1,1,0,0,1,0,0,0,0,1,4
138,Huilin Li,2022,1,0,0,1,1,1,1,0,0,1,6
139,Tao Bai,2024,0,0,0,1,1,1,0,0,0,1,4
140,Sengul Tugba Ozeken,2023,1,0,1,0,1,0,0,0,1,1,5
141,Xiaohan Yu,2023,1,1,0,1,1,1,1,1,1,1,9
142,Shubham Yadav,2025,0,0,0,1,0,1,1,0,0,1,4
143,Wenyun Wang,2021,1,0,1,1,0,0,0,0,0,0,3
144,Yanan Zhao,2022,1,0,1,0,0,0,1,0,1,0,4
145,Óscar Barros,2023,1,0,1,1,1,1,0,0,0,0,5
146,Yafang Guan,2024,1,1,0,0,1,0,0,0,1,1,5
147,Hakan Demir,2024,1,1,1,1,1,1,1,0,0,1,8
148,Chengzhi Cai,2023,0,0,0,0,1,0,1,0,0,1,3
150,Zafira Madzin,2024,1,0,1,0,1,0,0,0,0,1,4
152,Feiwu Chen,2023,1,1,0,1,0,1,1,0,0,1,6
153,Mingzheng Zhang,2024,1,1,0,0,1,1,0,1,0,1,6
156,V. Senthilkumar V. Senthilkumar,2023,1,0,1,1,0,0,0,0,0,1,4
158,I. R. Ilaboya,2019,1,0,1,0,1,1,0,0,0,1,5
165,Mohammad Hadi Dehghani,2021,1,0,0,1,1,1,1,0,0,0,5
166,Tianxing Da,2022,1,0,0,0,0,0,0,0,1,1,3
167,Farnoush Fathalian,2022,1,1,1,1,0,0,1,0,0,1,6
168,Ying Zhao,2022,1,0,1,1,0,0,0,0,1,1,5
170,Haoyang Fu,2023,1,0,1,0,1,0,0,0,0,1,4
172,Hung Vo Thanh,2023,1,0,1,0,0,1,1,0,1,1,6
175,Pin Chen,2022,1,1,0,0,1,0,0,1,1,1,6
176,Bingyou Liu,2024,1,0,0,1,0,1,1,0,0,1,5
177,Muhammad Yaqub,2020,1,0,1,0,1,1,0,0,0,1,5
178,Chong Liu,2025,1,0,0,1,0,1,1,1,1,1,7
179,Christiano Bruneli Peres,2024,1,1,1,1,0,1,0,1,1,1,8
181,Priyanshu Rajput,2024,1,0,0,1,0,1,1,0,0,1,5
182,Alok Garg,2019,1,0,0,0,1,0,0,0,0,1,3
183,Ayman Massaoudi,2024,1,0,0,0,0,1,1,0,0,1,4
185,Gautam Aditya,2018,1,0,0,0,1,0,0,0,0,1,3
186,Zening Qu,2024,1,0,0,0,0,1,0,0,0,1,3
188,Raid Alrowais,2023,0,0,0,1,1,1,1,0,1,1,6
189,Nesma A. Fekry,2024,0,0,0,0,1,0,1,0,0,1,3
190,Lulu Zhang,2023,1,1,0,1,1,0,1,0,0,1,6
193,Ruiqing Chen,2022,0,0,1,0,0,0,0,0,0,0,1
194,Etinosa Osaro,2024,1,0,0,0,0,0,1,1,1,1,5
195,Mohamed K. Mostafa,2022,1,0,0,0,1,1,1,0,1,1,6
196,Harsha S. Rangappa,2024,1,0,1,1,1,0,0,0,0,1,5
197,Saerom Park,2024,1,1,0,1,0,1,0,0,0,1,5
198,Jiatong Liang,2023,1,1,0,1,0,1,0,0,0,1,5
199,Mengqing Jiao,2023,1,0,1,0,1,1,0,0,1,0,5
200,Hyeonmin Lee,2023,1,0,0,0,0,1,0,0,0,1,3
,Compliance Rate (n=126),,86.5%,28.6%,41.3%,45.2%,66.7%,59.5%,41.3%,12.7%,31.7%,81.0%,"Median=5, Mean=4.9"
